career_name,category,required_skills,nice_to_have_skills,tools,related_interests,work_style,education_fit,experience_level,goal_fit,beginner_friendly_score,salary_potential_score,remote_friendly_score,learning_difficulty_score,creativity_score,technical_depth_score,market_demand_score,short_description,roadmap,mini_project_ideas
Frontend Developer,Web Development,html|css|javascript|react|git,typescript|tailwind css|accessibility,vs code|chrome devtools|github,web apps|user interface|visual design,Creative|Technical,Undergraduate|Self-taught|Diploma,Beginner|Intermediate,Fast hiring|Remote job|Freelancing,90,78,88,48,84,62,86,Builds interactive browser interfaces with responsive layouts and accessible components.,html css basics|javascript practice|react components|portfolio deployment,personal portfolio|landing page clone|weather dashboard
Backend Developer,Web Development,python|sql|apis|databases|git,django|docker|testing,postman|postgresql|github,apis|systems|data flow,Technical|Analytical,Undergraduate|Graduate|Self-taught,Intermediate|Advanced,High salary|Startup role|Remote job,72,86,82,66,45,88,86,Designs server logic APIs data models and reliable application services.,api fundamentals|database design|authentication concepts|deployment basics,task api|blog backend|inventory service
Full Stack Developer,Web Development,html|css|javascript|python|sql|git,react|node.js|docker,vs code|github|postman,web apps|startups|product building,Technical|Creative,Undergraduate|Self-taught|Graduate,Beginner|Intermediate,Startup role|Freelancing|Remote job,82,84,85,68,78,82,88,Builds complete web products across frontend backend and database layers.,frontend basics|backend apis|database integration|full deployment,expense tracker|job board app|course platform
React Developer,Web Development,html|css|javascript|react|state management,typescript|next.js|testing,vs code|vite|github,components|web apps|interfaces,Creative|Technical,Undergraduate|Self-taught|Diploma,Beginner|Intermediate,Fast hiring|Remote job|Freelancing,86,80,88,58,82,68,84,Creates component driven web interfaces using React and modern frontend tooling.,javascript refresh|react components|state and routing|testing and deploy,react dashboard|movie search app|admin panel
Node.js Developer,Web Development,javascript|node.js|apis|databases|git,typescript|express|docker,node.js|postman|mongodb,backend|apis|realtime apps,Technical,Undergraduate|Graduate|Self-taught,Intermediate|Advanced,Startup role|Remote job|High salary,74,84,84,66,52,84,82,Builds scalable JavaScript backend services and real time application APIs.,node fundamentals|express apis|database models|service deployment,realtime chat api|url shortener|ecommerce api
Django Developer,Web Development,python|django|sql|html|git,django rest framework|docker|testing,pycharm|postgresql|github,web apps|backend|admin systems,Technical|Analytical,Undergraduate|Self-taught|Graduate,Beginner|Intermediate,Fast hiring|Remote job|Startup role,80,82,80,60,55,78,80,Creates secure Python web applications using Django and relational databases.,python oop|django models|views and templates|deployment,library system|crm app|blog platform
Mobile App Developer,Mobile Development,mobile ui|apis|state management|testing|git,flutter|react native|firebase,android studio|xcode|figma,mobile apps|product design|user experience,Creative|Technical,Undergraduate|Self-taught|Diploma,Beginner|Intermediate,Freelancing|Startup role|Remote job,78,82,76,66,78,74,80,Builds mobile applications with smooth flows native patterns and backend integration.,mobile fundamentals|ui screens|api integration|publish workflow,habit tracker|food ordering app|notes app
Android Developer,Mobile Development,kotlin|java|android sdk|mobile ui|git,jetpack compose|firebase|testing,android studio|gradle|github,mobile apps|android|consumer apps,Technical|Creative,Undergraduate|Graduate|Self-taught,Intermediate|Advanced,High salary|Startup role|Freelancing,68,84,72,72,70,82,78,Develops native Android apps using Kotlin Java and the Android ecosystem.,kotlin basics|android lifecycle|data storage|release builds,expense android app|fitness tracker|news reader
iOS Developer,Mobile Development,swift|ios sdk|mobile ui|apis|git,swiftui|core data|testing,xcode|simulator|github,mobile apps|apple ecosystem|product design,Technical|Creative,Undergraduate|Graduate|Self-taught,Intermediate|Advanced,High salary|Startup role|Freelancing,64,88,74,74,72,84,76,Builds native iOS apps for Apple devices with polished interface behavior.,swift basics|swiftui views|networking|app store prep,ios journal app|recipe app|task manager
Flutter Developer,Mobile Development,dart|flutter|mobile ui|state management|apis,firebase|animations|testing,android studio|flutter sdk|figma,cross platform apps|mobile ui|startups,Creative|Technical,Undergraduate|Self-taught|Diploma,Beginner|Intermediate,Freelancing|Startup role|Remote job,82,82,80,62,82,72,78,Creates cross platform mobile apps from one codebase using Flutter and Dart.,dart basics|flutter widgets|state management|api integration,travel app|budget app|quiz app
React Native Developer,Mobile Development,javascript|react native|mobile ui|apis|git,typescript|expo|firebase,expo|android studio|xcode,mobile apps|cross platform|consumer products,Creative|Technical,Undergraduate|Self-taught|Graduate,Intermediate|Advanced,Freelancing|Startup role|Remote job,76,82,82,66,78,74,76,Builds mobile apps with React Native and JavaScript based tooling.,react native basics|navigation|native modules|testing,fitness app|chat app|event app
Python Developer,Software Engineering,python|oop|git|debugging|testing,django|flask|sql,vs code|pycharm|github,automation|backend|scripting,Technical|Analytical,Undergraduate|Self-taught|Diploma,Beginner|Intermediate,Fast hiring|Remote job|Startup role,88,80,82,54,58,76,84,Develops Python applications scripts and services for practical software problems.,python basics|oop practice|testing|package a project,automation script|file organizer|api client
Java Developer,Software Engineering,java|oop|sql|spring boot|git,maven|microservices|testing,intellij idea|postman|github,enterprise apps|backend|banking systems,Technical|Analytical,Undergraduate|Graduate|Diploma,Intermediate|Advanced,High salary|Fast hiring,70,84,72,68,42,86,82,Builds robust backend and enterprise systems using Java and Spring technologies.,java fundamentals|spring boot apis|database integration|testing,banking api|student portal|order service
.NET Developer,Software Engineering,c#|.net|sql|apis|git,azure|entity framework|testing,visual studio|sql server|postman,enterprise apps|backend|windows systems,Technical|Analytical,Undergraduate|Graduate|Diploma,Intermediate|Advanced,High salary|Fast hiring|Remote job,72,84,76,66,45,84,80,Creates enterprise web and desktop solutions with C# and the .NET ecosystem.,c# basics|.net web api|sql server|azure deploy,employee system|ticketing api|invoice app
PHP Developer,Software Engineering,php|html|css|sql|git,laravel|wordpress|javascript,phpstorm|mysql|github,websites|cms|small business apps,Technical|Creative,Diploma|Undergraduate|Self-taught,Beginner|Intermediate,Fast hiring|Freelancing,84,72,78,48,62,64,76,Builds dynamic websites CMS features and business web applications using PHP.,php basics|mysql integration|laravel mvc|hosting,blog cms|booking website|storefront
C++ Developer,Software Engineering,c++|data structures and algorithms|oop|debugging|operating systems,cmake|multithreading|linux,visual studio|gdb|github,performance|systems|algorithms,Technical|Research-Oriented,Undergraduate|Graduate,Advanced,High salary|Research career,45,86,62,86,35,94,70,Develops high performance software where memory control and speed matter.,c++ fundamentals|memory management|algorithms|debugging tools,command line tool|game loop demo|file compressor
Go Developer,Software Engineering,go|apis|concurrency|linux|git,docker|kubernetes|microservices,go tools|docker|github,backend|cloud services|platforms,Technical,Undergraduate|Graduate|Self-taught,Intermediate|Advanced,High salary|Remote job|Startup role,62,88,84,72,45,88,78,Builds efficient cloud native backend services using Go and concurrency patterns.,go syntax|rest services|concurrency|container deploy,api gateway|log processor|microservice
Software Development Engineer,Software Engineering,programming|data structures and algorithms|system design|testing|git,cloud|databases|ci/cd,vscode|github|terminal,software products|problem solving|engineering,Technical|Analytical,Undergraduate|Graduate,Intermediate|Advanced,High salary|Startup role,68,90,80,78,52,90,86,General software engineering role focused on scalable features tests and architecture.,coding fundamentals|testing|system design basics|portfolio review,feature service|cli tool|scalable api
Data Analyst,Data & AI,excel|sql|statistics|python|data visualization,pandas|power bi|tableau,excel|power bi|jupyter,dashboards|business insights|reports,Analytical|Business-Oriented,Undergraduate|Diploma|Self-taught,Beginner|Intermediate,Fast hiring|Remote job,92,76,82,48,58,62,88,Turns raw data into business insights dashboards and decision ready reports.,excel cleanup|sql analysis|dashboard design|storytelling,sales dashboard|customer churn report|survey analysis
Business Analyst,Data & AI,requirements analysis|excel|sql|communication|process mapping,power bi|jira|statistics,excel|jira|miro,business problems|stakeholders|process improvement,Business-Oriented|Analytical,Undergraduate|Graduate|Diploma,Beginner|Intermediate,Fast hiring|Startup role,88,74,76,44,55,50,82,Connects business needs with technical teams through requirements analysis and insight.,requirements writing|process mapping|basic sql|stakeholder reporting,requirements document|process dashboard|user story map
BI Analyst,Data & AI,sql|data visualization|excel|dashboards|business metrics,power bi|tableau|data modeling,power bi|tableau|sql server,kpis|dashboards|executive reporting,Analytical|Business-Oriented,Undergraduate|Graduate|Diploma,Beginner|Intermediate,Fast hiring|Remote job,86,78,82,52,60,64,84,Builds business intelligence dashboards and metric systems for decision makers.,sql joins|data modeling|dashboard layout|insight presentation,kpi dashboard|finance report|operations cockpit
Data Scientist,Data & AI,python|statistics|machine learning|sql|pandas,scikit-learn|deep learning|storytelling,jupyter|scikit-learn|github,prediction|experiments|research,Analytical|Research-Oriented,Graduate|Postgraduate|Undergraduate,Intermediate|Advanced,High salary|Research career,58,92,82,78,65,90,84,Builds predictive models and explains patterns using statistics and machine learning.,statistics refresh|model training|evaluation|model explanation,churn model|price prediction|recommendation prototype
Machine Learning Engineer,Data & AI,python|machine learning|model deployment|apis|git,docker|mlops|cloud,scikit-learn|mlflow|docker,artificial intelligence|automation|models,Technical|Research-Oriented,Graduate|Postgraduate|Undergraduate,Intermediate|Advanced,High salary|Research career,52,94,84,84,58,94,86,Turns machine learning models into reliable deployable software systems.,ml fundamentals|api serving|docker deploy|monitoring,model api|image classifier service|ml pipeline
AI Engineer,Data & AI,python|machine learning|deep learning|apis|large language models,prompt engineering|vector search|mlops,pytorch|jupyter|github,artificial intelligence|automation|research,Research-Oriented|Technical,Graduate|Postgraduate,Advanced,High salary|Research career,42,95,82,88,68,96,88,Builds AI powered applications and intelligent systems using modern model workflows.,deep learning basics|llm app patterns|evaluation|deployment,chat assistant demo|document qa app|ai summarizer
NLP Engineer,Data & AI,python|natural language processing|machine learning|text processing|statistics,transformers|linguistics|deep learning,jupyter|spacy|github,text analysis|language|search,Research-Oriented|Analytical,Graduate|Postgraduate,Advanced,High salary|Research career,38,92,80,88,62,94,76,Builds systems that process classify search and generate human language.,text preprocessing|classification|embeddings|evaluation,sentiment analyzer|resume parser|semantic search
Computer Vision Engineer,Data & AI,python|computer vision|deep learning|image processing|statistics,opencv|pytorch|model deployment,opencv|jupyter|github,images|automation|robotics,Research-Oriented|Technical,Graduate|Postgraduate,Advanced,High salary|Research career,36,92,72,90,62,95,74,Builds software that understands images video and visual signals.,image basics|opencv practice|cnn models|deployment,object detector|quality inspection demo|face blur tool
Data Engineer,Data & AI,sql|python|data pipelines|databases|cloud,spark|airflow|docker,airflow|postgresql|aws,data platforms|pipelines|analytics,Technical|Analytical,Undergraduate|Graduate,Intermediate|Advanced,High salary|Remote job,56,90,82,78,42,90,86,Builds reliable data pipelines warehouses and infrastructure for analytics.,sql mastery|etl scripts|pipeline scheduling|warehouse modeling,etl pipeline|data warehouse demo|log ingestion
MLOps Engineer,Data & AI,python|machine learning|docker|ci/cd|cloud,kubernetes|mlflow|monitoring,mlflow|docker|github actions,ml systems|automation|deployment,Technical|Analytical,Graduate|Postgraduate|Undergraduate,Advanced,High salary|Remote job,38,94,84,88,42,96,82,Operates machine learning systems with versioning automation monitoring and deployment.,ml lifecycle|containerization|ci cd|model monitoring,ml deployment pipeline|experiment tracker|model monitor
DevOps Engineer,Cloud & DevOps,linux|docker|ci/cd|cloud|scripting,kubernetes|terraform|monitoring,docker|github actions|aws,deployment|automation|reliability,Technical|Analytical,Undergraduate|Graduate|Self-taught,Intermediate|Advanced,High salary|Remote job,58,92,84,80,38,90,88,Automates software delivery infrastructure monitoring and release reliability.,linux basics|docker containers|ci cd pipelines|cloud deploy,ci pipeline|containerized app|monitoring dashboard
Cloud Engineer,Cloud & DevOps,cloud|linux|networking|security|automation,aws|azure|terraform,aws|azure|docker,infrastructure|scaling|platforms,Technical|Analytical,Undergraduate|Graduate,Intermediate|Advanced,High salary|Remote job,56,92,82,78,36,88,86,Designs deploys and manages cloud infrastructure for applications and teams.,cloud basics|networking|compute and storage|cost control,cloud hosted app|backup workflow|serverless function
Cloud Data Engineer,Cloud & DevOps,sql|python|cloud|data pipelines|warehousing,spark|airflow|terraform,aws|bigquery|airflow,data platforms|analytics|cloud,Technical|Analytical,Undergraduate|Graduate,Intermediate|Advanced,High salary|Remote job,50,92,84,82,38,90,82,Builds cloud data platforms pipelines and warehouses for analytics teams.,cloud storage|etl design|warehouse modeling|pipeline monitoring,cloud etl job|data lake demo|analytics mart
AWS Developer,Cloud & DevOps,aws|python|apis|serverless|databases,lambda|dynamodb|terraform,aws console|sam cli|github,cloud apps|serverless|backend,Technical,Undergraduate|Graduate|Self-taught,Intermediate|Advanced,High salary|Remote job,58,88,82,76,45,84,80,Builds application features and services using AWS cloud products.,aws fundamentals|lambda services|database integration|deployment automation,serverless api|image upload service|event processor
Azure Developer,Cloud & DevOps,azure|c#|apis|cloud storage|git,.net|functions|devops,azure portal|visual studio|github,cloud apps|enterprise|backend,Technical,Undergraduate|Graduate|Diploma,Intermediate|Advanced,High salary|Remote job,58,86,80,74,44,82,76,Builds cloud applications and enterprise integrations on Microsoft Azure.,azure basics|functions|app services|monitoring,azure web api|queue processor|dashboard backend
Site Reliability Engineer,Cloud & DevOps,linux|monitoring|incident response|automation|cloud,kubernetes|slo|terraform,prometheus|grafana|docker,reliability|systems|operations,Technical|Analytical,Graduate|Undergraduate,Advanced,High salary|Remote job,38,94,82,88,34,94,78,Improves reliability observability and incident response for production systems.,linux and networking|monitoring|incident drills|automation,error budget dashboard|alert simulator|runbook library
Platform Engineer,Cloud & DevOps,kubernetes|docker|ci/cd|cloud|developer tools,terraform|go|monitoring,kubernetes|terraform|github actions,developer experience|infrastructure|automation,Technical,Graduate|Undergraduate,Advanced,High salary|Remote job,36,94,84,88,42,94,78,Builds internal platforms that make software delivery faster and safer.,containers|platform workflows|infrastructure as code|self service tooling,developer portal|deployment template|cluster starter
Kubernetes Engineer,Cloud & DevOps,kubernetes|docker|linux|networking|cloud,helm|terraform|monitoring,kubectl|helm|prometheus,containers|scaling|infrastructure,Technical,Graduate|Undergraduate,Advanced,High salary|Remote job,32,94,80,90,32,96,74,Specializes in container orchestration cluster operations and scalable deployments.,container basics|kubernetes objects|networking|observability,cluster app deploy|helm chart|autoscaling demo
Cybersecurity Analyst,Cybersecurity,networking|security|linux|incident response|risk analysis,python|siem|penetration testing,wireshark|splunk|nmap,security|investigation|threats,Analytical|Technical,Undergraduate|Graduate|Self-taught,Beginner|Intermediate,Fast hiring|High salary,74,84,68,68,36,82,88,Monitors systems investigates threats and supports defensive security operations.,networking basics|security alerts|incident notes|lab practice,phishing analysis|log investigation|risk register
Ethical Hacker / Penetration Tester,Cybersecurity,networking|linux|web security|penetration testing|report writing,python|burp suite|owasp,burp suite|nmap|kali linux,security testing|hacking labs|web apps,Technical|Analytical,Undergraduate|Graduate|Self-taught,Intermediate|Advanced,High salary|Freelancing,48,88,70,84,52,92,78,Finds and reports security weaknesses through authorized testing and clear documentation.,networking|owasp top ten|lab exploitation|report writing,vulnerable app report|recon checklist|web security lab
Security Engineer,Cybersecurity,security architecture|networking|cloud security|linux|automation,python|iam|threat modeling,aws|splunk|terraform,secure systems|risk|infrastructure,Technical|Analytical,Graduate|Undergraduate,Advanced,High salary|Remote job,42,94,78,86,38,94,82,Designs and implements security controls across applications cloud and infrastructure.,security foundations|iam design|automation|architecture review,secure cloud baseline|iam policy audit|threat model
SOC Analyst,Cybersecurity,security monitoring|incident response|networking|linux|documentation,siem|threat intelligence|python,splunk|wireshark|jira,alerts|investigation|defense,Analytical|Technical,Diploma|Undergraduate|Graduate,Beginner|Intermediate,Fast hiring,78,76,58,62,30,76,84,Works in security operations to triage alerts investigate events and document incidents.,alert triage|log review|incident workflow|reporting,failed login analysis|alert playbook|daily soc report
Cloud Security Engineer,Cybersecurity,cloud|security|iam|networking|automation,aws|azure|terraform,aws|azure|checkov,cloud security|risk|infrastructure,Technical|Analytical,Graduate|Undergraduate,Advanced,High salary|Remote job,36,94,80,88,34,94,80,Protects cloud environments through identity controls secure configuration and monitoring.,cloud iam|network controls|policy as code|monitoring,cloud audit|secure landing zone|iam analyzer
UI/UX Designer,Design & Product,user interface|user experience|figma|wireframing|user research,prototyping|accessibility|html,figma|miro|notion,design|users|product,Creative|Business-Oriented,Diploma|Undergraduate|Self-taught,Beginner|Intermediate,Fast hiring|Freelancing|Remote job,90,74,84,46,95,46,82,Designs usable digital experiences through research wireframes prototypes and visual systems.,ux basics|wireframes|prototype testing|case study,app redesign|checkout flow|portfolio case study
Product Designer,Design & Product,user experience|user interface|product thinking|figma|research,design systems|analytics|accessibility,figma|miro|maze,product strategy|design|users,Creative|Business-Oriented,Undergraduate|Graduate|Self-taught,Intermediate|Advanced,High salary|Remote job,72,84,82,62,94,58,78,Shapes product experiences from user problems through polished interaction design.,research synthesis|journey mapping|design system|prototype testing,saas dashboard design|mobile flow|design system kit
UX Engineer,Design & Product,html|css|javascript|user experience|accessibility,react|design systems|figma,figma|storybook|github,frontend|design systems|accessibility,Creative|Technical,Undergraduate|Self-taught|Graduate,Intermediate|Advanced,High salary|Remote job,66,86,84,72,88,76,72,Bridges design and engineering by building accessible polished interface systems.,design tokens|component states|frontend implementation|accessibility testing,component library|interactive prototype|accessibility audit
Product Manager - Technical,Design & Product,product thinking|communication|requirements analysis|analytics|technical literacy,sql|roadmapping|agile,jira|notion|figma,products|strategy|stakeholders,Business-Oriented|Analytical,Graduate|Undergraduate,Intermediate|Advanced,High salary|Startup role,58,90,78,70,72,66,80,Defines technical product direction coordinates teams and turns user problems into shipped outcomes.,product discovery|requirements|prioritization|launch review,prd document|feature roadmap|metric dashboard
Product Analyst,Design & Product,sql|excel|analytics|product metrics|communication,python|ab testing|dashboards,amplitude|excel|power bi,metrics|growth|user behavior,Analytical|Business-Oriented,Undergraduate|Graduate|Diploma,Beginner|Intermediate,Fast hiring|Startup role,82,78,80,56,58,62,78,Analyzes product usage funnels and experiments to guide product decisions.,sql metrics|funnel analysis|dashboarding|recommendations,funnel report|retention cohort|experiment readout
Manual QA Tester,QA & Testing,test cases|bug reporting|quality assurance|documentation|web basics,sql|api testing|agile,jira|testlink|excel,quality|software testing|details,Analytical|Technical,Diploma|Undergraduate|Self-taught,Beginner,Fast hiring,94,62,60,34,35,42,78,Tests applications manually and reports issues clearly to improve product quality.,testing basics|test case writing|bug reports|regression practice,test plan|bug report set|website qa checklist
Software Tester / QA Engineer,QA & Testing,testing|test cases|bug reporting|sql|api testing,selenium|python|performance testing,jira|postman|selenium,quality|debugging|reliability,Analytical|Technical,Diploma|Undergraduate|Graduate,Beginner|Intermediate,Fast hiring|Remote job,88,70,70,48,38,58,80,Validates software behavior through structured test planning execution and reporting.,testing types|api testing|sql validation|automation basics,api test suite|ecommerce test plan|defect dashboard
Automation Test Engineer,QA & Testing,testing|selenium|python|api testing|git,pytest|ci/cd|sql,selenium|postman|github actions,automation|quality|debugging,Technical|Analytical,Undergraduate|Graduate|Self-taught,Intermediate|Advanced,Remote job|High salary,70,80,78,64,40,74,78,Builds automated tests that catch regressions and improve delivery confidence.,python testing|selenium scripts|api automation|ci integration,selenium suite|api regression pack|test report dashboard
SDET,QA & Testing,programming|testing|automation|apis|ci/cd,java|python|performance testing,selenium|jenkins|postman,engineering quality|automation|platforms,Technical|Analytical,Undergraduate|Graduate,Intermediate|Advanced,High salary|Remote job,54,86,78,76,38,86,74,Software engineer focused on test frameworks automation architecture and release quality.,test architecture|automation framework|ci cd|quality metrics,test framework|mock service tests|release quality dashboard
Game Developer,Game & Creative Tech,c#|game design|programming|math|debugging,unity|physics|animation,unity|visual studio|git,games|interactive media|storytelling,Creative|Technical,Diploma|Undergraduate|Self-taught,Beginner|Intermediate,Freelancing|Startup role,72,76,62,70,92,78,66,Builds interactive games with gameplay systems levels mechanics and player feedback.,game loop basics|physics|level design|publishing,2d platformer|puzzle game|arcade shooter
Unity Developer,Game & Creative Tech,unity|c#|game physics|ui|git,animation|shaders|mobile export,unity|visual studio|github,games|ar vr|interactive apps,Creative|Technical,Diploma|Undergraduate|Self-taught,Beginner|Intermediate,Freelancing|Startup role,74,78,64,68,90,76,66,Creates games simulations and interactive experiences using Unity and C#.,unity editor|c# scripts|physics|build pipeline,3d maze|ar product viewer|training simulation
Unreal Engine Developer,Game & Creative Tech,unreal engine|c++|blueprints|game physics|debugging,shaders|animation|multiplayer,unreal engine|visual studio|perforce,games|simulation|3d worlds,Creative|Technical,Undergraduate|Graduate|Self-taught,Intermediate|Advanced,High salary|Startup role,44,84,58,86,90,92,60,Builds high fidelity games simulations and real time 3D experiences in Unreal.,blueprints|c++ gameplay|materials|optimization,first person prototype|archviz scene|multiplayer demo
AR/VR Developer,Game & Creative Tech,unity|c#|3d math|interaction design|mobile ui,arcore|arkit|unreal engine,unity|meta sdk|figma,immersive tech|games|training,Creative|Technical,Undergraduate|Graduate|Self-taught,Intermediate|Advanced,Startup role|High salary,48,86,62,82,92,86,64,Develops immersive augmented and virtual reality applications for training commerce and games.,3d interaction|xr sdk basics|performance|user testing,vr training demo|ar furniture app|museum experience
Creative Technologist,Game & Creative Tech,javascript|creative coding|interaction design|prototyping|git,three.js|arduino|webgl,processing|p5.js|figma,interactive art|experiments|installations,Creative|Technical,Diploma|Undergraduate|Self-taught,Beginner|Intermediate,Freelancing|Startup role,72,74,72,68,96,70,60,Combines code design and experimentation to create interactive digital experiences.,creative coding|sensor basics|prototype|showcase,interactive poster|generative art|touch installation
Blockchain Developer,Emerging Tech,blockchain|javascript|smart contract development|web3|security,solidity|cryptography|testing,hardhat|metamask|github,web3|decentralized apps|security,Technical|Research-Oriented,Undergraduate|Graduate|Self-taught,Intermediate|Advanced,High salary|Startup role,42,88,76,84,58,90,58,Builds decentralized applications and blockchain integrations with secure contract logic.,blockchain basics|smart contracts|testing|frontend integration,token contract demo|nft minter|dao voting app
Web3 Developer,Emerging Tech,javascript|web3|blockchain|apis|frontend,solidity|ethers.js|security,hardhat|metamask|react,decentralized apps|web apps|crypto tools,Technical|Creative,Undergraduate|Self-taught|Graduate,Intermediate|Advanced,Startup role|Freelancing,48,84,78,80,64,84,56,Creates web interfaces and integrations for decentralized applications.,web3 basics|wallet connect|contract calls|security notes,web3 dashboard|wallet login demo|token explorer
Smart Contract Developer,Emerging Tech,solidity|smart contract development|security|testing|blockchain,cryptography|formal verification|web3,hardhat|remix|github,security|blockchain|finance,Technical|Research-Oriented,Graduate|Undergraduate|Self-taught,Advanced,High salary|Research career,34,92,76,90,45,96,54,Writes and audits blockchain smart contracts where correctness and security are critical.,solidity basics|contract testing|security patterns|audit report,escrow contract|staking demo|contract audit notes
IoT Developer,Emerging Tech,embedded systems|python|c|networking|sensors,mqtt|cloud|electronics,arduino ide|raspberry pi|mqtt,devices|automation|hardware,Technical|Creative,Diploma|Undergraduate|Graduate,Intermediate|Advanced,Startup role|Freelancing,56,80,58,76,70,84,66,Builds connected device applications that combine software hardware and cloud communication.,electronics basics|sensor reading|mqtt messaging|dashboarding,smart home sensor|weather station|device monitor
Robotics Software Engineer,Emerging Tech,python|c++|robotics|control systems|algorithms,ros|computer vision|simulation,ros|gazebo|github,robots|automation|research,Research-Oriented|Technical,Graduate|Postgraduate,Advanced,High salary|Research career,30,92,52,92,72,96,64,Develops software for robotic perception planning control and automation systems.,robotics math|ros nodes|simulation|control practice,line follower sim|robot arm planner|navigation demo
Embedded Systems Engineer,Emerging Tech,c|c++|embedded systems|electronics|debugging,rtos|iot|communication protocols,arduino ide|stm32cube|oscilloscope,hardware|devices|systems,Technical,Diploma|Undergraduate|Graduate,Intermediate|Advanced,High salary,44,84,46,86,48,94,68,Builds low level software for microcontrollers devices and hardware products.,c basics|microcontroller io|communication protocols|debugging,sensor logger|motor controller|iot device
Database Administrator,Systems & Infrastructure,sql|database management systems|backup recovery|performance tuning|security,linux|cloud databases|automation,postgresql|mysql|sql server,databases|reliability|operations,Technical|Analytical,Diploma|Undergraduate|Graduate,Intermediate|Advanced,Fast hiring|High salary,64,78,62,68,30,82,74,Maintains database reliability performance security backups and availability.,sql admin|backup strategy|performance tuning|security,database backup plan|query tuning report|access audit
Database Developer,Systems & Infrastructure,sql|database design|stored procedures|data modeling|performance tuning,etl|python|reporting,sql server|postgresql|mysql,data models|business systems|analytics,Analytical|Technical,Undergraduate|Graduate|Diploma,Intermediate|Advanced,Fast hiring|Remote job,70,78,70,64,38,78,72,Designs schemas queries and database logic for business applications and reports.,data modeling|advanced sql|procedures|optimization,inventory schema|reporting mart|stored procedure pack
System Administrator,Systems & Infrastructure,linux|windows server|networking|scripting|troubleshooting,cloud|security|monitoring,powershell|linux shell|active directory,systems|support|operations,Technical,Diploma|Undergraduate|Self-taught,Beginner|Intermediate,Fast hiring,76,68,48,58,28,72,72,Maintains servers user systems backups access and operational reliability.,os basics|user management|backup routines|monitoring,server checklist|backup script|asset inventory
Network Engineer,Systems & Infrastructure,networking|routing|switching|security|troubleshooting,cloud networking|linux|automation,cisco packet tracer|wireshark|putty,networks|infrastructure|connectivity,Technical|Analytical,Diploma|Undergraduate|Graduate,Beginner|Intermediate,Fast hiring|High salary,70,76,42,66,25,80,72,Designs and troubleshoots networks that connect users services and infrastructure.,network basics|routing labs|security rules|documentation,office network design|packet tracer lab|network audit
Systems Programmer,Systems & Infrastructure,c|c++|operating systems|linux|debugging,assembly|performance|concurrency,gcc|gdb|linux,low level systems|performance|tools,Technical|Research-Oriented,Undergraduate|Graduate,Advanced,High salary|Research career,30,86,54,90,32,96,58,Builds low level software tools runtimes and OS adjacent components.,c memory|linux internals|concurrency|debugging,shell utility|memory allocator demo|process monitor
Solutions Architect,Systems & Infrastructure,system design|cloud|communication|security|databases,devops|cost estimation|enterprise architecture,draw.io|aws|jira,architecture|business problems|platforms,Business-Oriented|Technical,Graduate|Undergraduate,Advanced,High salary|Startup role,36,96,78,86,58,92,78,Designs technical solutions that balance business needs scalability security and cost.,architecture basics|cloud patterns|tradeoff analysis|presentation,system design document|migration plan|architecture diagram
Technical Writer,Technical Communication,writing|technical literacy|documentation|research|communication,markdown|api docs|diagrams,markdown|notion|github,teaching|documentation|developer experience,Creative|Analytical,Diploma|Undergraduate|Self-taught,Beginner|Intermediate,Fast hiring|Remote job|Freelancing,90,68,90,38,74,48,70,Creates clear technical documentation tutorials guides and product explanations.,docs basics|audience analysis|markdown|review workflow,api guide|tutorial series|readme overhaul
Open Source Developer,Software Engineering,git|github|programming|documentation|testing,community management|ci/cd|code review,github|vs code|terminal,community|software|learning,Technical|Creative,Self-taught|Undergraduate|Graduate,Beginner|Intermediate,Remote job|Research career,80,72,86,62,68,76,68,Contributes code docs tests and issue fixes to public software projects.,git workflow|issue triage|pull requests|maintainer feedback,bug fix pr|documentation contribution|test improvement
Low-Code / No-Code Developer,Enterprise Software,workflow design|databases|business analysis|automation|user interface,excel|apis|process mapping,power apps|zapier|airtable,automation|business tools|fast prototypes,Business-Oriented|Creative,Diploma|Undergraduate|Self-taught,Beginner|Intermediate,Fast hiring|Freelancing,92,66,78,34,70,38,74,Builds business apps and automations using low code platforms and workflow tools.,process mapping|data tables|app screens|automation rules,approval workflow|crm tracker|inventory app
CRM Developer,Enterprise Software,crm|javascript|apis|databases|business processes,salesforce|automation|reporting,salesforce|zoho|postman,sales systems|automation|business apps,Business-Oriented|Technical,Undergraduate|Graduate|Diploma,Beginner|Intermediate,Fast hiring|High salary,76,82,76,60,48,68,78,Customizes CRM systems workflows integrations and dashboards for sales and service teams.,crm concepts|workflow automation|api integration|reporting,lead tracker|sales dashboard|crm automation
ERP Developer,Enterprise Software,erp|sql|business processes|programming|reporting,python|java|integration,sap|odoo|sql server,enterprise systems|operations|finance,Business-Oriented|Technical,Undergraduate|Graduate,Intermediate|Advanced,High salary|Fast hiring,62,86,68,72,38,78,72,Builds and customizes ERP workflows reports and integrations for enterprise operations.,erp modules|sql reports|custom workflows|integration,inventory module|invoice workflow|erp report pack
